raceId;year;name
1;2009;Australian Grand Prix
2;2009;Malaysian Grand Prix
3;2009;Chinese Grand Prix
4;2009;Bahrain Grand Prix
5;2009;Spanish Grand Prix
6;2009;Monaco Grand Prix
7;2009;Turkish Grand Prix
8;2009;British Grand Prix
9;2009;German Grand Prix
10;2009;Hungarian Grand Prix
11;2009;European Grand Prix
12;2009;Belgian Grand Prix
13;2009;Italian Grand Prix
14;2009;Singapore Grand Prix
15;2009;Japanese Grand Prix
16;2009;Brazilian Grand Prix
17;2009;Abu Dhabi Grand Prix
18;2008;Australian Grand Prix
19;2008;Malaysian Grand Prix
20;2008;Bahrain Grand Prix
21;2008;Spanish Grand Prix
22;2008;Turkish Grand Prix
23;2008;Monaco Grand Prix
24;2008;Canadian Grand Prix
25;2008;French Grand Prix
26;2008;British Grand Prix
27;2008;German Grand Prix
28;2008;Hungarian Grand Prix
29;2008;European Grand Prix
30;2008;Belgian Grand Prix
31;2008;Italian Grand Prix
32;2008;Singapore Grand Prix
33;2008;Japanese Grand Prix
34;2008;Chinese Grand Prix
35;2008;Brazilian Grand Prix
36;2007;Australian Grand Prix
37;2007;Malaysian Grand Prix
38;2007;Bahrain Grand Prix
39;2007;Spanish Grand Prix
40;2007;Monaco Grand Prix
41;2007;Canadian Grand Prix
42;2007;United States Grand Prix
43;2007;French Grand Prix
44;2007;British Grand Prix
45;2007;European Grand Prix
46;2007;Hungarian Grand Prix
47;2007;Turkish Grand Prix
48;2007;Italian Grand Prix
49;2007;Belgian Grand Prix
50;2007;Japanese Grand Prix
51;2007;Chinese Grand Prix
52;2007;Brazilian Grand Prix
53;2006;Bahrain Grand Prix
54;2006;Malaysian Grand Prix
55;2006;Australian Grand Prix
56;2006;San Marino Grand Prix
57;2006;European Grand Prix
58;2006;Spanish Grand Prix
59;2006;Monaco Grand Prix
60;2006;British Grand Prix
61;2006;Canadian Grand Prix
62;2006;United States Grand Prix
63;2006;French Grand Prix
64;2006;German Grand Prix
65;2006;Hungarian Grand Prix
66;2006;Turkish Grand Prix
67;2006;Italian Grand Prix
68;2006;Chinese Grand Prix
69;2006;Japanese Grand Prix
70;2006;Brazilian Grand Prix
71;2005;Australian Grand Prix
72;2005;Malaysian Grand Prix
73;2005;Bahrain Grand Prix
74;2005;San Marino Grand Prix
75;2005;Spanish Grand Prix
76;2005;Monaco Grand Prix
77;2005;European Grand Prix
78;2005;Canadian Grand Prix
79;2005;United States Grand Prix
80;2005;French Grand Prix
81;2005;British Grand Prix
82;2005;German Grand Prix
83;2005;Hungarian Grand Prix
84;2005;Turkish Grand Prix
85;2005;Italian Grand Prix
86;2005;Belgian Grand Prix
87;2005;Brazilian Grand Prix
88;2005;Japanese Grand Prix
89;2005;Chinese Grand Prix
90;2004;Australian Grand Prix
91;2004;Malaysian Grand Prix
92;2004;Bahrain Grand Prix
93;2004;San Marino Grand Prix
94;2004;Spanish Grand Prix
95;2004;Monaco Grand Prix
96;2004;European Grand Prix
97;2004;Canadian Grand Prix
98;2004;United States Grand Prix
99;2004;French Grand Prix
100;2004;British Grand Prix
101;2004;German Grand Prix
102;2004;Hungarian Grand Prix
103;2004;Belgian Grand Prix
104;2004;Italian Grand Prix
105;2004;Chinese Grand Prix
106;2004;Japanese Grand Prix
107;2004;Brazilian Grand Prix
108;2003;Australian Grand Prix
109;2003;Malaysian Grand Prix
110;2003;Brazilian Grand Prix
111;2003;San Marino Grand Prix
112;2003;Spanish Grand Prix
113;2003;Austrian Grand Prix
114;2003;Monaco Grand Prix
115;2003;Canadian Grand Prix
116;2003;European Grand Prix
117;2003;French Grand Prix
118;2003;British Grand Prix
119;2003;German Grand Prix
120;2003;Hungarian Grand Prix
121;2003;Italian Grand Prix
122;2003;United States Grand Prix
123;2003;Japanese Grand Prix
124;2002;Australian Grand Prix
125;2002;Malaysian Grand Prix
126;2002;Brazilian Grand Prix
127;2002;San Marino Grand Prix
128;2002;Spanish Grand Prix
129;2002;Austrian Grand Prix
130;2002;Monaco Grand Prix
131;2002;Canadian Grand Prix
132;2002;European Grand Prix
133;2002;British Grand Prix
134;2002;French Grand Prix
135;2002;German Grand Prix
136;2002;Hungarian Grand Prix
137;2002;Belgian Grand Prix
138;2002;Italian Grand Prix
139;2002;United States Grand Prix
140;2002;Japanese Grand Prix
141;2001;Australian Grand Prix
142;2001;Malaysian Grand Prix
143;2001;Brazilian Grand Prix
144;2001;San Marino Grand Prix
145;2001;Spanish Grand Prix
146;2001;Austrian Grand Prix
147;2001;Monaco Grand Prix
148;2001;Canadian Grand Prix
149;2001;European Grand Prix
150;2001;French Grand Prix
151;2001;British Grand Prix
152;2001;German Grand Prix
153;2001;Hungarian Grand Prix
154;2001;Belgian Grand Prix
155;2001;Italian Grand Prix
156;2001;United States Grand Prix
157;2001;Japanese Grand Prix
158;2000;Australian Grand Prix
159;2000;Brazilian Grand Prix
160;2000;San Marino Grand Prix
161;2000;British Grand Prix
162;2000;Spanish Grand Prix
163;2000;European Grand Prix
164;2000;Monaco Grand Prix
165;2000;Canadian Grand Prix
166;2000;French Grand Prix
167;2000;Austrian Grand Prix
168;2000;German Grand Prix
169;2000;Hungarian Grand Prix
170;2000;Belgian Grand Prix
171;2000;Italian Grand Prix
172;2000;United States Grand Prix
173;2000;Japanese Grand Prix
174;2000;Malaysian Grand Prix
175;1999;Australian Grand Prix
176;1999;Brazilian Grand Prix
177;1999;San Marino Grand Prix
178;1999;Monaco Grand Prix
179;1999;Spanish Grand Prix
180;1999;Canadian Grand Prix
181;1999;French Grand Prix
182;1999;British Grand Prix
183;1999;Austrian Grand Prix
184;1999;German Grand Prix
185;1999;Hungarian Grand Prix
186;1999;Belgian Grand Prix
187;1999;Italian Grand Prix
188;1999;European Grand Prix
189;1999;Malaysian Grand Prix
190;1999;Japanese Grand Prix
191;1998;Australian Grand Prix
192;1998;Brazilian Grand Prix
193;1998;Argentine Grand Prix
194;1998;San Marino Grand Prix
195;1998;Spanish Grand Prix
196;1998;Monaco Grand Prix
197;1998;Canadian Grand Prix
198;1998;French Grand Prix
199;1998;British Grand Prix
200;1998;Austrian Grand Prix
201;1998;German Grand Prix
202;1998;Hungarian Grand Prix
203;1998;Belgian Grand Prix
204;1998;Italian Grand Prix
205;1998;Luxembourg Grand Prix
206;1998;Japanese Grand Prix
207;1997;Australian Grand Prix
208;1997;Brazilian Grand Prix
209;1997;Argentine Grand Prix
210;1997;San Marino Grand Prix
211;1997;Monaco Grand Prix
212;1997;Spanish Grand Prix
213;1997;Canadian Grand Prix
214;1997;French Grand Prix
215;1997;British Grand Prix
216;1997;German Grand Prix
217;1997;Hungarian Grand Prix
218;1997;Belgian Grand Prix
219;1997;Italian Grand Prix
220;1997;Austrian Grand Prix
221;1997;Luxembourg Grand Prix
222;1997;Japanese Grand Prix
223;1997;European Grand Prix
224;1996;Australian Grand Prix
225;1996;Brazilian Grand Prix
226;1996;Argentine Grand Prix
227;1996;European Grand Prix
228;1996;San Marino Grand Prix
229;1996;Monaco Grand Prix
230;1996;Spanish Grand Prix
231;1996;Canadian Grand Prix
232;1996;French Grand Prix
233;1996;British Grand Prix
234;1996;German Grand Prix
235;1996;Hungarian Grand Prix
236;1996;Belgian Grand Prix
237;1996;Italian Grand Prix
238;1996;Portuguese Grand Prix
239;1996;Japanese Grand Prix
240;1995;Brazilian Grand Prix
241;1995;Argentine Grand Prix
242;1995;San Marino Grand Prix
243;1995;Spanish Grand Prix
244;1995;Monaco Grand Prix
245;1995;Canadian Grand Prix
246;1995;French Grand Prix
247;1995;British Grand Prix
248;1995;German Grand Prix
249;1995;Hungarian Grand Prix
250;1995;Belgian Grand Prix
251;1995;Italian Grand Prix
252;1995;Portuguese Grand Prix
253;1995;European Grand Prix
254;1995;Pacific Grand Prix
255;1995;Japanese Grand Prix
256;1995;Australian Grand Prix
257;1994;Brazilian Grand Prix
258;1994;Pacific Grand Prix
259;1994;San Marino Grand Prix
260;1994;Monaco Grand Prix
261;1994;Spanish Grand Prix
262;1994;Canadian Grand Prix
263;1994;French Grand Prix
264;1994;British Grand Prix
265;1994;German Grand Prix
266;1994;Hungarian Grand Prix
267;1994;Belgian Grand Prix
268;1994;Italian Grand Prix
269;1994;Portuguese Grand Prix
270;1994;European Grand Prix
271;1994;Japanese Grand Prix
272;1994;Australian Grand Prix
273;1993;South African Grand Prix
274;1993;Brazilian Grand Prix
275;1993;European Grand Prix
276;1993;San Marino Grand Prix
277;1993;Spanish Grand Prix
278;1993;Monaco Grand Prix
279;1993;Canadian Grand Prix
280;1993;French Grand Prix
281;1993;British Grand Prix
282;1993;German Grand Prix
283;1993;Hungarian Grand Prix
284;1993;Belgian Grand Prix
285;1993;Italian Grand Prix
286;1993;Portuguese Grand Prix
287;1993;Japanese Grand Prix
288;1993;Australian Grand Prix
289;1992;South African Grand Prix
290;1992;Mexican Grand Prix
291;1992;Brazilian Grand Prix
292;1992;Spanish Grand Prix
293;1992;San Marino Grand Prix
294;1992;Monaco Grand Prix
295;1992;Canadian Grand Prix
296;1992;French Grand Prix
297;1992;British Grand Prix
298;1992;German Grand Prix
299;1992;Hungarian Grand Prix
300;1992;Belgian Grand Prix
301;1992;Italian Grand Prix
302;1992;Portuguese Grand Prix
303;1992;Japanese Grand Prix
304;1992;Australian Grand Prix
305;1991;United States Grand Prix
306;1991;Brazilian Grand Prix
307;1991;San Marino Grand Prix
308;1991;Monaco Grand Prix
309;1991;Canadian Grand Prix
310;1991;Mexican Grand Prix
311;1991;French Grand Prix
312;1991;British Grand Prix
313;1991;German Grand Prix
314;1991;Hungarian Grand Prix
315;1991;Belgian Grand Prix
316;1991;Italian Grand Prix
317;1991;Portuguese Grand Prix
318;1991;Spanish Grand Prix
319;1991;Japanese Grand Prix
320;1991;Australian Grand Prix
321;1990;United States Grand Prix
322;1990;Brazilian Grand Prix
323;1990;San Marino Grand Prix
324;1990;Monaco Grand Prix
325;1990;Canadian Grand Prix
326;1990;Mexican Grand Prix
327;1990;French Grand Prix
328;1990;British Grand Prix
329;1990;German Grand Prix
330;1990;Hungarian Grand Prix
331;1990;Belgian Grand Prix
332;1990;Italian Grand Prix
333;1990;Portuguese Grand Prix
334;1990;Spanish Grand Prix
335;1990;Japanese Grand Prix
336;1990;Australian Grand Prix
337;2010;Bahrain Grand Prix
338;2010;Australian Grand Prix
339;2010;Malaysian Grand Prix
340;2010;Chinese Grand Prix
341;2010;Spanish Grand Prix
342;2010;Monaco Grand Prix
343;2010;Turkish Grand Prix
344;2010;Canadian Grand Prix
345;2010;European Grand Prix
346;2010;British Grand Prix
347;2010;German Grand Prix
348;2010;Hungarian Grand Prix
349;2010;Belgian Grand Prix
350;2010;Italian Grand Prix
351;2010;Singapore Grand Prix
352;2010;Japanese Grand Prix
353;2010;Korean Grand Prix
354;2010;Brazilian Grand Prix
355;2010;Abu Dhabi Grand Prix
356;1989;Brazilian Grand Prix
357;1989;San Marino Grand Prix
358;1989;Monaco Grand Prix
359;1989;Mexican Grand Prix
360;1989;United States Grand Prix
361;1989;Canadian Grand Prix
362;1989;French Grand Prix
363;1989;British Grand Prix
364;1989;German Grand Prix
365;1989;Hungarian Grand Prix
366;1989;Belgian Grand Prix
367;1989;Italian Grand Prix
368;1989;Portuguese Grand Prix
369;1989;Spanish Grand Prix
370;1989;Japanese Grand Prix
371;1989;Australian Grand Prix
372;1988;Brazilian Grand Prix
373;1988;San Marino Grand Prix
374;1988;Monaco Grand Prix
375;1988;Mexican Grand Prix
376;1988;Canadian Grand Prix
377;1988;Detroit Grand Prix
378;1988;French Grand Prix
